z,H,dH_dz,S_rel,dlnS_dlna,Omega_m,Omega_r,Omega_geom,Delta_H,w_geom,model,w_true,w_error,H_p16,H_p50,H_p84,dH_dz_p16,dH_dz_p50,dH_dz_p84,S_rel_p16,S_rel_p50,S_rel_p84,dlnS_dlna_p16,dlnS_dlna_p50,dlnS_dlna_p84,Omega_m_p16,Omega_m_p50,Omega_m_p84,Omega_geom_p16,Omega_geom_p50,Omega_geom_p84,Delta_H_p16,Delta_H_p50,Delta_H_p84,w_geom_p16,w_geom_p50,w_geom_p84,reconstruction,w0_p16,w0_p50,w0_p84,wa_p16,wa_p50,wa_p84,acceptance_rate
0.0,67.36,47.08372984496374,1.0,1.3979729763944104,0.3153,9.22e-05,0.6846078,0.45170417639441035,-0.7800666910337031,bayesian_cpl,-0.7800666910337032,1.1102230246251565e-16,67.36,67.36,67.36,22.610258886993876,47.08372984496374,65.28502051845759,1.0,1.0,1.0,0.6713259764546875,1.3979729763944104,1.9383913455599047,0.3153,0.3153,0.3153,0.6846078,0.6846078,0.6846078,-0.2749428235453126,0.45170417639441035,0.9921225455599048,-1.133868775448421,-0.7800666910337031,-0.516938727273287,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
0.008972602739726028,67.78174646842247,46.92650560856671,0.9875944657433161,1.3970592664918644,0.3198458642832332,9.436850252356566e-05,0.6800597672142433,0.4371441996320705,-0.7857324602400941,bayesian_cpl,-0.7857324602400941,0.0,67.5671446082267,67.78122915257494,67.9412173099287,23.59035322788062,46.82960356094767,64.31686525639422,0.9829637660195878,0.9876095407197977,0.9938778808752935,0.704546577056786,1.3941976020559987,1.9103068454497492,0.3183461493630435,0.3198507465188563,0.32188083350718993,0.6780241975854673,0.6800548835381474,0.6815599246158499,-0.2614825194992467,0.4342505496206982,0.9548829385509247,-1.1285516849113482,-0.7871474547296468,-0.5329892204009776,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
0.017945205479452057,68.20215226382643,46.7848216978678,0.9754567022646958,1.3965654559501324,0.3244181708979341,9.656873065282594e-05,0.6754852603714131,0.4229246683337187,-0.7912983484390786,bayesian_cpl,-0.7912983484390786,0.0,67.78325201169812,68.20040716331783,68.51425111120561,24.59944308387256,46.777590267748636,63.16772051695918,0.9665900647006195,0.975506622546311,0.9875505975745659,0.7388404387089994,1.3964245154074764,1.8772779884491926,0.3214692974790789,0.32443477342515514,0.32844036828132395,0.6714618657107725,0.6754686529021601,0.6784350115739082,-0.24684169099861994,0.4226792401584121,0.9122211272535696,-1.122537613859137,-0.7914087062019409,-0.5517426599125101,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
0.026917808219178087,68.62135492143554,46.658255518618105,0.96357512312684,1.396480543042805,0.3290156874259847,9.88005224390496e-05,0.6708855120515763,0.40903827867509457,-0.7967669737348327,bayesian_cpl,-0.7967669737348327,0.0,68.0083518361865,68.61848096193387,69.07430516326042,25.72097553186422,46.40796884792507,62.470290066506976,0.9509793973353726,0.9636558399784776,0.9810240567185025,0.77648773025563,1.3883724027939461,1.8575506327920566,0.32471483814039837,0.3290432484430668,0.3349736794317159,0.6649257309131521,0.6708579427581627,0.675187652844445,-0.22862702766207335,0.4018072962696741,0.8829252567425846,-1.1146249772949273,-0.8004466898262919,-0.5640506193050678,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
0.03589041095890411,69.03948822104644,46.54639257506301,0.9519388037337408,1.396793718367621,0.3336371784423287,0.00010106370208834294,0.6662617578555831,0.39547792823228134,-0.8021408635222895,bayesian_cpl,-0.8021408635222895,0.0,68.24236659119704,69.03905814050944,69.6275821089649,26.459587349049812,46.143660823815374,61.73565883779618,0.9359260364257455,0.9519506640237896,0.9743073943937088,0.803322079618703,1.385237485148488,1.8373234777308614,0.328024995723504,0.3336413352575482,0.34147696125636195,0.6584196002538284,0.6662575997812018,0.6718756405886717,-0.22160318215756009,0.3835237573839719,0.8524830449559764,-1.1121941970238902,-0.8082359520674474,-0.5770649118540904,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
0.04486301369863014,69.45668225960492,46.448826447826924,0.9405374394954487,1.3974943578111858,0.33828140624729924,0.0001033580801459569,0.6616152356725549,0.3822367067487042,-0.8074224583818986,bayesian_cpl,-0.8074224583818989,2.220446049250313e-16,68.48537365022774,69.44949448852178,70.17944173108262,27.383609311793858,45.84554301881868,61.063983872546366,0.9212645050673295,0.9407321340053741,0.9674053790228526,0.8352942923821726,1.3811248559961449,1.817652747901473,0.3313495446466025,0.33835143167089277,0.34794494964773354,0.6519487396850885,0.6615451888534805,0.668549215225624,-0.20850647517836987,0.3632432256842025,0.823902617054676,-1.1066136703052227,-0.8167494727540887,-0.589352704394213,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
0.053835616438356174,69.873063523522,46.36515875836769,0.9293613069956842,1.3985720160942436,0.34294713162437074,0.00010568345369995762,0.6569471849219293,0.36930788740633147,-0.8126141157754209,bayesian_cpl,-0.812614115775421,1.1102230246251565e-16,68.74176699020745,69.86124235889356,70.72457738105588,28.29287232847086,45.768014261914715,60.24721479184284,0.9071172695813162,0.9296758465634242,0.9602023737194888,0.8677179358100059,1.3821374785927758,1.794651574916692,0.33473877522995277,0.3430632010601508,0.35432791032641947,0.64556289909039,0.6568310797178989,0.6651580708241721,-0.19582061482314264,0.35169359977398595,0.7909582271128194,-1.10112817140407,-0.8216610079288151,-0.6039100043176701,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
0.0628082191780822,70.28875496061703,46.29499912166757,0.9184012279134799,1.4000164208604575,0.3476331146196136,0.00010803960660357056,0.6522588457737828,0.35668491857520246,-0.8177181135545134,bayesian_cpl,-0.8177181135545136,2.220446049250313e-16,68.99198733275446,70.26952949267712,71.26496274152558,29.146400317037422,45.60992463722486,59.51767660563806,0.8934125195691354,0.9189038386152102,0.9532500734838851,0.8980361586851229,1.380858257325925,1.7749964223233914,0.3381743919523961,0.34782336275776193,0.36082409516094105,0.6390637656565276,0.6520685385091212,0.6617205080823433,-0.18499836119769775,0.33586061270921613,0.7603140795058597,-1.0965003766947763,-0.8283326216013209,-0.6170427620176583,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
0.07178082191780823,70.70387605158929,46.23796508865697,0.9076485354731814,1.4018174672734576,0.3523381153392889,0.00011042630971548113,0.6475514583509957,0.3443614160167289,-0.8227366532930819,bayesian_cpl,-0.822736653293082,1.1102230246251565e-16,69.25499912839517,70.67931457218391,71.79575404177942,29.933714351316095,45.55791151324748,58.920298696893234,0.8802512254998123,0.908279471538537,0.9460234805878617,0.9260184652948886,1.3813371870424402,1.7557432947266902,0.34170281303436006,0.35258303704133415,0.3672348020076657,0.6326501029111629,0.6473064598880252,0.6581900938666533,-0.17528215447523754,0.3225435587828318,0.7331066688553934,-1.0922763189773839,-0.8336718458968106,-0.6286496150477848,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
0.08075342465753425,71.11854288093197,46.193682079711614,0.8970950432179561,1.4039652130886144,0.35706089476216096,0.00011284332115734248,0.6428262619166817,0.3323311555175022,-0.8276718634536349,bayesian_cpl,-0.8276718634536351,2.220446049250313e-16,69.52858280643613,71.07801815815013,72.32062590240587,30.79310090871559,45.38149183320242,58.26621086805204,0.867520619112284,0.8981182819784077,0.9385932224139242,0.9578965902543605,1.3788925122310125,1.7433289039703401,0.34528971130386454,0.35746816325631253,0.3735779596001983,0.6263039771274275,0.6424188647119091,0.6546011654671384,-0.1647162088212052,0.3062493665119746,0.7047862939804288,-1.0877320617260084,-0.8404726384578693,-0.6407025216824228,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
0.08972602739726028,71.53286820721394,46.16178331042489,0.8867330159206616,1.406449874167619,0.36180021556326014,0.00011529038658771977,0.6380844940501521,0.3205880659314878,-0.8325258023972134,bayesian_cpl,-0.8325258023972135,1.1102230246251565e-16,69.80972069642435,71.47389101811021,72.84754109641402,31.669030617618258,45.19645494431386,57.445763096513524,0.8550162383911946,0.8881970077825395,0.9310486257628937,0.9862192444269879,1.378697236724696,1.7174799970456083,0.34885930015681293,0.36239754594534856,0.37988164132035807,0.6199973065094071,0.6374869733242007,0.6510295331775808,-0.1512306323211776,0.2898525889217319,0.6728353868137221,-1.0813105517519654,-0.8483456322538733,-0.6558932862344691,bayesian_cpl,-1.133868775448421,-0.7800666910337032,-0.5169387272732872,-1.9138372262063772,-0.6371179097659923,0.7060529807412311,0.8345555555555556
