model,chi2,dof,chi2_per_point
poly anchored HEDD,8.571471108640552,20,0.4285735554320276
GP anchored HEDD,8.52302832092835,20,0.42615141604641754
spline anchored HEDD,80.8182503035433,20,4.0409125151771645
Bayesian CPL HEDD,9.295799899242226,20,0.4647899949621113
LCDM reference,9.955907845135041,20,0.49779539225675207
