z,H,dH_dz,S_rel,dlnS_dlna,Omega_m,Omega_r,Omega_geom,Delta_H,w_geom
0.0,67.36,31.870333184,1.0,0.9462688,0.3153,9.22e-05,0.6846078,-5.307169634316544e-17,-1.0
0.008972602739726028,67.64791849432937,32.30684219982218,0.9915058499621243,0.963716826361439,0.3211126191197611,9.474225053889645e-05,0.6787926386297001,1.4100049253173985e-16,-0.9999999999999999
0.017945205479452057,67.93975144268859,32.74285677470335,0.9830061833026863,0.981176214506053,0.3269289833449523,9.731611779900445e-05,0.6729737005372488,9.107298248878237e-18,-1.0
0.026917808219178087,68.23549410974461,33.17831056989145,0.9745036621637743,0.998641496346472,0.3327472706699881,9.99210841269031e-05,0.667152808245885,1.0945020931241167e-16,-1.0
0.03589041095890411,68.53514117272191,33.613138984597626,0.9660009056727479,1.016107292129788,0.338565688547702,0.00010255662167048996,0.6613317548306276,-8.483881999699072e-17,-1.0
0.04486301369863014,68.83868673704207,34.04727916571259,0.9575004878836396,1.03356831466636,0.3443824752978588,0.00010522219319579671,0.6555123025089454,2.6964108029714495e-16,-0.9999999999999999
0.053835616438356174,69.14612435203911,34.48067001498293,0.9490049358565225,1.0510193732752717,0.3501959014212281,0.00010791725289687554,0.649696181325875,2.99781900692242e-17,-1.0
0.0628082191780822,69.45744702672795,34.91325219371378,0.9405167278746629,1.0684553774467813,0.356004270819331,0.00011064124719705699,0.643885087933472,2.417770844642675e-17,-1.0
0.07178082191780823,69.77264724560436,35.344968125069066,0.9320382917988703,1.0858713402229927,0.36180592192027755,0.00011339361553997801,0.6380806844641824,1.8805486681761074e-16,-0.9999999999999999
0.08075342465753425,70.09171698445506,35.775761994043435,0.9235720035580375,1.1032623812987883,0.3675992287113709,0.00011617379116886848,0.6322845974974601,1.4750570556665288e-16,-0.9999999999999999
0.08972602739726028,70.41464772615727,36.20557974518451,0.9151201857745042,1.1206237298458683,0.3733826016794325,0.00011898120189268817,0.6264984171186748,-3.74049749507499e-18,-1.0
0.0986986301369863,70.74143047644814,36.63436907814559,0.9066851065224923,1.13795072706345,0.37915448866003293,0.00012181527083780035,0.6207236960691294,-1.36501053515925e-16,-1.0
0.10767123287671235,71.07205577964493,37.062079441152626,0.8982689782175536,1.1552388284598818,0.3849133755970487,0.000124675417183968,0.6149619489857674,-2.0372158821002628e-16,-1.0
0.11664383561643837,71.40651373429725,37.48866202247074,0.8898739566346388,1.1724836058700776,0.3906577872141811,0.00012756105688356114,0.6092146517289353,-3.7838655819744105e-17,-1.0
0.1256164383561644,71.74479400875451,37.914069739957554,0.8815021400521202,1.1896807492142414,0.39638628760026323,0.0001304716033629584,0.6034832407963737,-8.933825901280557e-17,-1.0
0.13458904109589043,72.08688585663091,38.338257228791704,0.8731555685188381,1.2068260680039125,0.4020974807103639,0.0001334064682052261,0.5977691128214309,-1.0679391398982219e-16,-1.0
0.14356164383561645,72.43277813215289,38.761180827466234,0.8648362232409919,1.2239154926018405,0.4077900107848625,0.00013636506181325607,0.5920736241533243,-3.0791341698588326e-17,-1.0
0.15253424657534248,72.78245930537314,39.18279856213664,0.8565460260854977,1.2409450752426467,0.41346256268881204,0.00013934679405263519,0.5863980905171354,2.5695591487906455e-17,-1.0
0.1615068493150685,73.1359174772373,39.60307012941446,0.84828683919623,1.2579109908216197,0.4191138621740418,0.00014235107487361686,0.5807437867510846,-9.812029660993815e-17,-1.0
0.17047945205479453,73.49314039448969,40.02195687769638,0.8400604647193995,1.2748095374593347,0.42474267606656274,0.00014537731491165128,0.5751119466185257,-2.09576279941448e-16,-1.0000000000000002
0.17945205479452056,73.85411546440503,40.4394217871191,0.8318686446341875,1.2916371368500874,0.4303478123819412,0.0001484249260660232,0.5695037626919928,-3.86843335142828e-16,-1.0000000000000002
0.1884246575342466,74.21882976933473,40.85542944822963,0.8237130606846083,1.3083903344023873,0.4359281203713875,0.0001514933220562273,0.5639203863065563,-3.892285799222961e-17,-1.0
0.1973972602739726,74.58727008105625,41.26994603945927,0.815595334408496,1.3250657991799617,0.4414824905013795,0.00015458191895579765,0.5583629275796648,-4.130810277169772e-17,-1.0
0.20636986301369864,74.95942287491529,41.68293930348921,0.807517027259413,1.341660323651883,0.4470098543696898,0.0001576901357033811,0.5528324554946067,-1.0842021724855044e-19,-1.0
0.2153424657534247,75.33527434375134,42.094378522593715,0.7994796408172267,1.3581708232605758,0.45250918456073735,0.0001608173945909257,0.5473299980446716,1.0039712117215771e-16,-0.9999999999999999
0.22431506849315072,75.71481041159768,42.50423449304567,0.7914846170830475,1.374594335816526,0.4579794944432035,0.0001639631217289215,0.5418565424350675,-1.102633609417758e-16,-1.0
0.23328767123287675,76.09801674714778,42.91247949866753,0.7835333388542121,1.3909280207285781,0.4634198379128745,0.00016712674748870174,0.5364130353396368,-2.31043482956661e-16,-1.0000000000000002
0.24226027397260277,76.48487877698096,43.31908728360856,0.7756271301749712,1.4071691580787207,0.46882930908367776,0.00017030770692187723,0.5310003832094005,-1.687018580387445e-16,-1.0
0.2512328767123288,76.87538169854062,43.724033024427676,0.7677672568585601,1.4233151475502355,0.4742070419298691,0.0001735054401570327,0.5256194526299738,2.992397996059992e-17,-1.0
0.2602054794520548,77.26951049285891,44.12729330155861,0.7599549270763554,1.439363507218062,0.47955220988232206,0.00017671939277387713,0.5202710707249041,3.789286592836838e-16,-0.9999999999999998
0.26917808219178085,77.66724993702333,44.52884607023196,0.7521912920098406,1.4553118722101106,0.48486402538183004,0.0001799490161550847,0.5149560256020149,2.0599841277224584e-17,-1.0
0.27815068493150685,78.06858461637977,44.928670630926405,0.7444774465611826,1.4711579932482095,0.4901417393923149,0.00018319376781611747,0.509675066839869,2.097931203759451e-16,-0.9999999999999999
0.2871232876712329,78.47349893646894,45.326747599418724,0.7368144301182475,1.4868997350771922,0.4953846408767796,0.0001864531117133636,0.504428906011507,1.1210650463500116e-16,-0.9999999999999999
0.29609589041095896,78.88197713469233,45.723058876499856,0.729203227369989,1.5025350747905266,0.500592056238801,0.00018972651853096413,0.49921821724266807,-3.122502256758253e-16,-1.0000000000000002
0.30506849315068496,79.29400329170521,46.11758761742138,0.7216447691682024,1.5180621000606944,0.5057633487323024,0.0001930134659467426,0.4940436378017508,2.327782064326378e-16,-0.9999999999999999
0.314041095890411,79.70956134253457,46.51031820113447,0.7141399334317329,1.533479007282343,0.5108979178422774,0.00019631343887768063,0.4889057687188449,-8.272462576064399e-17,-1.0
0.323013698630137,80.12863508742032,46.9012361993805,0.706689546089334,1.548784099636053,0.5159951986390771,0.00019962592970541743,0.48380517543121754,-5.0415401020575956e-17,-1.0
0.33198630136986307,80.55120820237867,47.29032834568962,0.6992943820574682,1.563975785080314,0.521054661108795,0.00020295043848227347,0.47874238845272277,4.83554168928535e-17,-1.0
0.34095890410958907,80.97726424948715,47.67758250434136,0.6919551662494504,1.5790525742791073,0.5260758094622112,0.0002062864731183257,0.47371790406467046,2.082752373344654e-16,-0.9999999999999999
0.3499315068493151,81.40678668689117,48.06298763933801,0.6846725746124642,1.5940130784722253,0.5310581814246749,0.0002096335495500785,0.46873218502577507,3.660266534311063e-16,-0.9999999999999998
0.3589041095890411,81.83975887853236,48.446533783439506,0.6774472351890887,1.608856007295237,0.536001347509224,0.00021299119189129573,0.4637856612988847,-2.9956506025774488e-16,-1.0000000000000002
0.3678767123287672,82.27616410359971,48.82821200730521,0.6702797292001017,1.6235801665557343,0.5409049102751561,0.00021635893256656937,0.45887873079227737,-2.931682674400804e-16,-1.0000000000000002
0.3768493150684932,82.71598556570416,49.20801438878567,0.6631705921454566,1.6381844559722338,0.5457685035741736,0.00021973631242821337,0.45401176011339817,2.4990860075790877e-16,-0.9999999999999998
0.38582191780821923,83.15920640177879,49.58593398240506,0.6561203149204501,1.6526678668818673,0.5505917917861463,0.000223122880857083,0.44918508533299667,1.8604909279851256e-16,-0.9999999999999999
0.3947945205479452,83.60580969070595,49.961964789071835,0.6491293449442394,1.6670294799226972,0.5553744690464351,0.00022651819584792044,0.44439901275771704,3.716645047280309e-16,-0.9999999999999997
0.4037671232876713,84.055778461674,50.336101726053045,0.6421980872979841,1.681268462696237,0.5601162584666394,0.00022992182407983742,0.4396538197092808,-2.669305748659312e-16,-1.0000000000000002
0.4127397260273973,84.5090957022657,50.708340597245346,0.6353269058700352,1.6953840674154965,0.5648169113505354,0.00023333334097254375,0.4349497553084921,3.8998752144303594e-16,-0.9999999999999997
0.42171232876712333,84.96574436628147,51.07867806377307,0.6285161245057116,1.709375628543585,0.5694762064068898,0.00023675233072893313,0.43028704126238126,-1.5070410197548512e-16,-1.0000000000000002
0.4306849315068494,85.42570738130046,51.44711161494137,0.621766028159342,1.7232425604276482,0.57409394896073,0.00024017838636463144,0.4256658726529054,-1.7867651802561113e-16,-1.0000000000000002
0.4396575342465754,85.88896765598237,51.813639539570744,0.6150768640463764,1.7369843549326591,0.5786699701645862,0.00024361110972511636,0.4210864187256887,-8.61940727125976e-17,-1.0
0.44863013698630144,86.35550808711437,52.178260897735996,0.6084488427934959,1.7506005790792876,0.583204126211108,0.0002470501114910016,0.41654882367740104,-1.9038590148845458e-16,-1.0000000000000002
0.45760273972602744,86.82531156640577,52.54097549293187,0.6018821395847849,1.7640908726898754,0.5876962975483956,0.0002504950111720838,0.41205320744043233,2.0881733842070815e-16,-0.9999999999999998
0.4665753424657535,87.29836098703548,52.901783844684324,0.5953768953021341,1.7774549460462177,0.5921463880992849,0.00025394543709073117,0.4075996664636244,-4.119968255444917e-18,-1.0
0.4755479452054795,87.77463924995529,53.260687161625384,0.5889332176581881,1.790692577562675,0.5965543244857515,0.00025740102635519145,0.4031882744878933,-4.649058915617843e-16,-1.0000000000000004
0.48452054794520555,88.25412926995412,53.61768731504686,0.58255118232024,1.8038036114778482,0.6009200552595183,0.000260861424823382,0.3988190833156583,-3.7296554733501353e-16,-1.0000000000000002
0.49349315068493155,88.73681398148689,53.97278681294707,0.576230834023618,1.8167879555678352,0.6052435501398682,0.000264326287057715,0.3944921235730741,-3.126839065448195e-16,-1.0000000000000002
0.5024657534246576,89.22267634427297,54.32598877458255,0.569972187673197,1.8296455788838681,0.609524799259594,0.0002677952762714983,0.39020740546413446,8.998878031629687e-17,-0.9999999999999999
0.5114383561643836,89.71169934866839,54.677296905535144,0.5637752294317909,1.8423765095168858,0.6137638124199388,0.0002712680642674397,0.38596491951579376,-3.172375556692586e-16,-1.0000000000000002
0.5204109589041096,90.2038660208169,55.02671547330352,0.557639917794276,1.8549808323914083,0.617960618355311,0.00027474433136876814,0.3817646373133202,1.8626593323300966e-16,-0.9999999999999999
0.5293835616438357,90.6991594275843,55.37424928342611,0.5515661846464016,1.8674586870908434,0.6221152640084898,0.0002782237663434697,0.3776065122251667,-5.876375774871434e-17,-1.0
0.5383561643835617,91.19756268128094,55.71990365614202,0.5455539363073391,1.8798102657161995,0.6262278138169703,0.0002817060663221259,0.37349048011670755,-7.502679033599691e-17,-1.0
0.5473287671232877,91.69905894417718,56.06368440359395,0.5396030545551117,1.892035810779945,0.6302983490110353,0.000285190936709823,0.36941646005225487,-4.575333167888829e-17,-1.0
0.5563013698630137,92.2036314328169,56.40559780757671,0.5337133976341367,1.9041356131365976,0.6343269669240758,0.000288678091092585,0.3653843549848317,-8.153200337090993e-17,-1.0
0.5652739726027398,92.71126342213367,56.745650597833674,0.5278848012441995,1.916110009951453,0.6383137803156325,0.0002921672511387721,0.36139405243322875,5.00901403688303e-16,-0.9999999999999996
0.5742465753424658,93.22193824937469,57.08384993090172,0.5221170795102551,1.927959382708674,0.6422589167075634,0.00029565814649586434,0.35744542514594074,3.7643499428696714e-16,-0.9999999999999997
0.5832191780821918,93.7356393178375,57.42020336950512,0.5164100259325346,1.939684155259837,0.6461625177337016,0.0002991505146830411,0.35353833175161536,1.235990476633475e-17,-1.0
0.5921917808219179,94.25235010042391,57.754718862497064,0.5107634143165048,1.951284791913848,0.6500247385033093,0.000302644100979945,0.3496726173957107,3.0270924655795284e-16,-0.9999999999999997
0.6011643835616439,94.77205414301687,58.087404725347,0.5051769996822972,1.9627617955690173,0.6538457469785897,0.00030613865831200665,0.3458481143630983,3.0487765090292385e-16,-0.9999999999999997
0.6101369863013699,95.2947350676843,58.41826962117106,0.49965051915329517,1.974115705887947,0.6576257233664721,0.00030963394713269163,0.34206464268639525,-4.0766001685454967e-17,-1.0
0.6191095890410959,95.82037657571541,58.747322542301816,0.494183692823619,1.9853470975157421,0.6613648595248434,0.00031312973530301145,0.33832201073985363,-1.2793585635328952e-17,-1.0
0.628082191780822,96.34896245049389,59.07457279239335,0.4887762246043207,1.9964565783419594,0.6650633583833616,0.0003166257979686284,0.33462001581866974,8.803721640582296e-17,-0.9999999999999999
0.637054794520548,96.88047656021295,59.400029969056305,0.4834278030481435,2.007444787806566,0.6687214333789423,0.000320121917434869,0.33095844470362284,-2.706168622523819e-16,-1.0000000000000002
0.646027397260274,97.41490286043705,59.72370394701781,0.4781381021527588,2.018312395250113,0.6723393079059843,0.00032361788303994195,0.3273370742109758,3.452099717193846e-16,-0.9999999999999997
