z,H,dH_dz,S_rel,dlnS_dlna,Omega_m,Omega_r,Omega_geom,Delta_H,w_geom,H_p16,H_p50,H_p84,dH_dz_p16,dH_dz_p50,dH_dz_p84,S_rel_p16,S_rel_p50,S_rel_p84,dlnS_dlna_p16,dlnS_dlna_p50,dlnS_dlna_p84,Omega_m_p16,Omega_m_p50,Omega_m_p84,Omega_geom_p16,Omega_geom_p50,Omega_geom_p84,Delta_H_p16,Delta_H_p50,Delta_H_p84,w_geom_p16,w_geom_p50,w_geom_p84,reconstruction,H0_anchor_sigma
0.0,75.95386911332336,-4.43929758893434,0.7865101892220074,-0.11689457405549404,0.24798666266169897,7.25162394462691e-05,0.7519408210988547,-0.861144626998376,-1.3817430852869226,67.2814279824201,76.26499298283854,85.76729044542203,-59.53063823781328,-5.15505535111582,50.055027075926375,0.6168233167024917,0.7801061289039974,1.002336987862625,-1.4025041889248286,-0.13857881817157305,1.450875888862931,0.19448439175629564,0.2459674624434304,0.3160368522730857,0.6838707322566333,0.7539606117714847,0.8054587371339044,-2.0149611065135673,-0.8788251254273088,0.5302447803028963,-1.8455527166474226,-1.3870839289874008,-0.737774627313183,unanchored,
0.008972602739726028,75.92038139052791,-3.027176188340672,0.7872041858411092,-0.0804616041637241,0.25494675387657467,7.522042981700552e-05,0.7449780256936084,-0.8456027475127161,-1.378356908234719,67.69931856594437,76.2453177985372,85.2373117539949,-56.751400545129876,-3.713465206219631,50.19341514993509,0.6245177560744102,0.7805089548123708,0.9900008575444796,-1.356482524758352,-0.10068908168943466,1.4553105790919323,0.20225854678266456,0.25277841248823874,0.32062520691033874,0.6792801946470168,0.7471470068373784,0.7976817781103108,-1.993564351571672,-0.8672959787788995,0.5281583221467074,-1.8428675768879315,-1.3849141397896663,-0.7399490176292902,unanchored,
0.017945205479452057,75.89950929964276,-1.627263605874581,0.7876372019868294,-0.04364890368689197,0.26195301114492314,7.797488564507495e-05,0.7379690139694318,-0.8298198366642418,-1.3748214450544283,68.17294665659252,76.23337049656894,84.92148508298277,-53.89662242352855,-2.3820800042450028,50.025441904588845,0.6291714782976049,0.7807534532495743,0.9762926661482859,-1.3090428121987072,-0.06333527946695444,1.4643360246137542,0.20925035390763094,0.25966360847940606,0.32469619643553244,0.6752071520746612,0.7402590981156092,0.7906873590724725,-1.9712672917240344,-0.84944306268195,0.5233060660314084,-1.8430236771238953,-1.3844562500513882,-0.7448951060858934,unanchored,
0.026917808219178087,75.89114329579294,-0.23955984153606752,0.7878108649143877,-0.006483187806216372,0.2690004412321745,8.077847089297997e-05,0.7309187802969326,-0.8138076253863117,-1.371134544322287,68.48556869123118,76.220681231904,84.56507919065888,-51.19309410616614,-0.9044391041424774,49.86354361468692,0.6344860772924178,0.7810134381374999,0.9673998832719727,-1.2688079061683408,-0.024301292021428805,1.4668266885329524,0.21664722124120442,0.266679438966707,0.3303216635332827,0.6695791437711187,0.7332404795390037,0.7832877215002464,-1.9457307871259797,-0.8382435564892736,0.5126116640590866,-1.8431504961125986,-1.3822159718572653,-0.7498605314973821,unanchored,
0.03589041095890411,75.89517383410345,1.1359351046748694,0.7877271911470782,0.03100867217134023,0.2760840049862302,8.362998320976391e-05,0.72383236503056,-0.7975778627201895,-1.3672940039952097,68.92543274633053,76.26180230673143,84.2449230616191,-48.541147722980675,0.5325646704007476,49.83882723884486,0.6393176309046945,0.7801714939364356,0.9550919307286506,-1.223332935773146,0.014652793545255928,1.4657018933996886,0.2240691624995853,0.2734358710004783,0.33474229191152005,0.6651563096309577,0.7264813011757879,0.7758629635926213,-1.916021246993566,-0.8246947485069267,0.5063611812182216,-1.8389091605654186,-1.3806438301932786,-0.753166603321143,unanchored,
0.04486301369863014,75.91149136969932,2.499221232758228,0.7873885761426725,0.06879969770167647,0.28319863050161,8.652815735078355e-05,0.7167148413410392,-0.7811423064325566,-1.3632975819555457,69.33103318833372,76.34747959013814,83.90846090308419,-46.07502959909138,1.854483631569325,49.889431341837,0.6444550731593186,0.7784214254659958,0.9439498887851988,-1.1742556056805482,0.05049531088522909,1.4739505553075247,0.23178999501443595,0.2799734315743191,0.33950875573495337,0.6603875111820646,0.7199410256915992,0.7681391841587634,-1.891885279935674,-0.8064923993029849,0.49413317821216346,-1.8392522372756779,-1.376871445510778,-0.7557488717517465,unanchored,
0.053835616438356174,75.93998635770558,3.8502985427140115,0.7867977828160622,0.10686285138688348,0.29033922625577546,8.947166879614535e-05,0.7095713020754284,-0.7645127140556275,-1.3591430073433075,69.66985628219834,76.39166087548219,83.48766600693708,-43.584643650061786,3.176116387501403,49.998953959798875,0.6509678156178299,0.7775213166015807,0.9347906839523774,-1.1262712823713428,0.08661672297485055,1.4766803662588144,0.24021609622161055,0.28691608236553645,0.34495064655423646,0.6549430525838458,0.7129955008503288,0.7597098781798585,-1.8643743873278003,-0.7916893220148701,0.4869529488323786,-1.834165339408472,-1.3743369037683713,-0.7569128752138016,unanchored,
0.0628082191780822,75.98054925324723,5.1891670345422165,0.7859579289958231,0.1451710846842482,0.29750069415471087,9.245913754774002e-05,0.7024068467077413,-0.7477008343300753,-1.3548279926534657,70.0389422939523,76.3932230350176,83.1218153005532,-40.797170002123366,4.682116345141917,50.072248528418505,0.6567107482659201,0.7774895089315352,0.9249644992054562,-1.0680397053060458,0.12593548393735687,1.4774105464294436,0.24857806793499393,0.29429522888160375,0.3501174432245599,0.6497737450735618,0.7056133081955143,0.7513446774090469,-1.834044685160349,-0.7705259496386776,0.47975559476743057,-1.8285083276232779,-1.3692786238080488,-0.7589024274890902,unanchored,
0.07178082191780823,76.03307051144931,6.515826708242844,0.7848724738969809,0.1836973847789803,0.30467794242666796,9.548913208406182e-05,0.6952265684412481,-0.73071839902936,-1.350350246571506,70.3601370719672,76.4341778244872,82.765715471771,-38.089586516852215,6.152631269674643,50.140180012223915,0.66237398694803,0.7766564622971993,0.9165387189682176,-1.0034704631872002,0.16840751315417163,1.4780910067657127,0.2571255206062472,0.301488586712935,0.3557891763780516,0.6440993157149874,0.6984169237311452,0.7427938936690238,-1.8033784388294187,-0.7484701873354306,0.47359510248575526,-1.8226258005816791,-1.3629247412352836,-0.7608230852705057,unanchored,
0.08075342465753425,76.09744058743682,7.830277563815893,0.783545203696119,0.22241482046664782,0.3118658983052288,9.856017345142625e-05,0.6880355415213197,-0.7135771151428443,-1.3457074875158577,70.69620042407679,76.49364125408653,82.50130140809455,-35.34912966984823,7.416362926048267,50.19983678542606,0.6666264761053818,0.7754494541522621,0.9078456370749315,-0.9496549678478677,0.20527137165582632,1.4867209566305397,0.2653300203025463,0.30864363596217675,0.36133983565121863,0.6385459687375581,0.6912588222082727,0.734586126435635,-1.7760882080700449,-0.7344540943124555,0.4654753304390886,-1.8196519975412306,-1.3572837427368079,-0.7642824756164222,unanchored,
0.08972602739726028,76.17354993633481,9.132519601261366,0.7819802162980357,0.2612965868999911,0.3190595204454954,0.0001016707394698109,0.6808388088150349,-0.6962886573943745,-1.3408974578511612,71.0684532770966,76.52322388864451,82.24394833310845,-32.852770471383266,8.374861697385825,50.326078952884714,0.6708049439101418,0.7748500055553205,0.898360055294749,-0.8956832236181822,0.2376256404900477,1.4939033574675076,0.2736983612317698,0.3161502887631187,0.36654421998892117,0.6333389779114498,0.683748967546183,0.7262144227066651,-1.7540568646590236,-0.713628061775283,0.4522850285074151,-1.8136350636046423,-1.349283154664866,-0.766514549019814,unanchored,
0.0986986301369863,76.26128901326825,10.422552820579263,0.7801819053854789,0.30031604906411913,0.32625381102022466,0.00010481926903133223,0.673641369710744,-0.6788646610726802,-1.335917938731593,71.49025109850963,76.58188346447264,81.96789474493293,-30.502537000496435,9.282660928680631,50.119562972614055,0.6753308788230014,0.7736634334944448,0.8877905396700946,-0.8363676809613793,0.2733004513413734,1.501174067973395,0.28240756597242483,0.3235279386540521,0.37125322306976605,0.6286275001887731,0.6763681178489053,0.7175017017399075,-1.7242188255394324,-0.6967276727193354,0.4423056590272841,-1.8091261585242937,-1.3418063424270994,-0.7708340303496178,unanchored,
0.10767123287671235,76.36054827336221,11.70037722176958,0.7781549438450186,0.339446783853991,0.3334438274460549,0.0001080041664693314,0.6664481683874758,-0.661316715150051,-1.3307667655286477,71.8359697247057,76.68515967943534,81.78726855523745,-28.216482746990287,10.710978455855876,49.9904249016972,0.6783170980463038,0.771580984677839,0.8792659200160969,-0.7825575688476367,0.3100240703535204,1.508268156028241,0.29066274163479155,0.33062684848380974,0.3767704568763063,0.6231075052396612,0.6692660597836595,0.7092431112119251,-1.6921831833837004,-0.6743843394384074,0.4312085181295881,-1.8013769345630017,-1.3389285951864238,-0.7757983096365157,unanchored,
0.11664383561643837,76.47121817174168,12.965992804832323,0.7759042666629218,0.378662620638448,0.3406246936935924,0.00011122380597618009,0.6592640825004314,-0.6436563556662338,-1.3254418437929552,72.12571556869271,76.82498413980234,81.60184205874268,-25.92425027798158,12.14148680654726,50.07176189854698,0.6814032991397867,0.7687749053775548,0.8722156761790835,-0.7209850297561277,0.35173861910504767,1.5192345670965164,0.29913843759300557,0.3374948790909436,0.3829057401772467,0.6169692300332486,0.6623949190779943,0.7007638850625187,-1.6651189216628997,-0.6594076116808623,0.42916157380743236,-1.7988338321736475,-1.3324762095195375,-0.7792146345196531,unanchored,
0.1256164383561644,76.59318916353169,14.219399569767488,0.7734350533849406,0.4179376802057903,0.3477916111389599,0.0001144765360482074,0.6520939123249919,-0.6258950593552822,-1.3199411656948308,72.50310080006159,76.88699607536158,81.4442207288231,-23.710014120911705,13.295875128830861,50.23508834681936,0.6840433547483862,0.7675353233450077,0.8631595953440137,-0.659036402644717,0.39131535144041796,1.523607572639127,0.30759472226614315,0.3451386713647757,0.38813817012937624,0.6117340731571166,0.6547477253213756,0.6923040321109495,-1.6306113265931408,-0.6420006426909424,0.41825641980468414,-1.7951189980840159,-1.3260923180547506,-0.7812662023523619,unanchored,
0.13458904109589043,76.72635170385726,15.460597516575076,0.770752710233301,0.45724641199689825,0.35493986891845497,0.00011776068393660177,0.6449423703976084,-0.6080442374942132,-1.3142628268834586,72.89135724798679,76.99017033851983,81.30542445808246,-21.44233527710501,14.89091840717309,50.429943383021346,0.686380780534472,0.7654796093569345,0.8539886210848663,-0.596939025266244,0.443795812933431,1.5203802913512847,0.3160856926436356,0.3525115495509048,0.39327089636047347,0.6065986256239999,0.6473714954242986,0.683809437572472,-1.5973037525724023,-0.6260470954377537,0.40553478088372713,-1.7932605280141558,-1.321392996873913,-0.7836035774882063,unanchored,
0.14356164383561645,76.87059624784342,16.689586645255083,0.7678628519728646,0.4965636295430788,0.36206485375214803,0.00012107456008373598,0.6378140716877683,-0.5901152299537001,-1.3084050436998311,73.29256526186778,77.08066364158995,81.2772308307781,-19.071265689868067,16.32372361583079,50.28982558809613,0.6868570495848032,0.7636832533387359,0.8446646381841607,-0.5378594682060165,0.48586796703232665,1.5212141993559798,0.3238687697517915,0.3600940776372201,0.39827864820912917,0.6015881673306203,0.6397855068306262,0.6760229284663144,-1.5500776323071186,-0.6062587878978529,0.39546055345628806,-1.788206147021136,-1.317758600852931,-0.7903963376143707,unanchored,
0.15253424657534248,77.02581325061517,17.906366955807513,0.7647712836165101,0.5358645440370835,0.36916205920653244,0.00012441646252508791,0.6307135243309425,-0.5721192994326143,-1.3023661706739285,73.5344440613589,77.24089553429152,81.21189861967099,-16.61064965505722,17.27902594668764,50.01329554676141,0.6879626099543328,0.7605181057793948,0.8391170268191049,-0.4810521014357718,0.5156380782706301,1.5312929063312775,0.33208581335173865,0.36710901155404185,0.4050494261119985,0.5948140625226326,0.6327672639097021,0.6678022657692827,-1.510773713625096,-0.5886856886854729,0.38114359523205493,-1.7810596214165266,-1.3106454195660624,-0.7949105619283724,unanchored,
0.1615068493150685,77.19189316729754,19.11093844823237,0.7614839820572744,0.5751247959770103,0.3762270943706884,0.00012778468123778093,0.6236451209480738,-0.554067625860006,-1.2961447182321173,73.94582059585403,77.42882974608321,81.22471034929303,-14.224000789268606,18.300845085021265,49.94335492230204,0.6877455902958824,0.7568307455803436,0.829806612764637,-0.4187142927744913,0.5532225252849243,1.5451903163149197,0.33979509904360955,0.37392806552650226,0.4099833196314572,0.5898774304617823,0.6259449306522044,0.6600894903199235,-1.4743174681410987,-0.5683645549378948,0.36835909273165923,-1.7682794010777945,-1.304097920659863,-0.8004800585549721,unanchored,
