z,H,dH_dz,S_rel,dlnS_dlna,Omega_m,Omega_r,Omega_geom,Delta_H,w_geom,H_p16,H_p50,H_p84,dH_dz_p16,dH_dz_p50,dH_dz_p84,S_rel_p16,S_rel_p50,S_rel_p84,dlnS_dlna_p16,dlnS_dlna_p50,dlnS_dlna_p84,Omega_m_p16,Omega_m_p50,Omega_m_p84,Omega_geom_p16,Omega_geom_p50,Omega_geom_p84,Delta_H_p16,Delta_H_p50,Delta_H_p84,w_geom_p16,w_geom_p50,w_geom_p84,reconstruction,H0_anchor_sigma,gp_length_scale
0.0,67.40612156992388,40.134338468801154,0.9986319998874408,1.1908217691227856,0.3148686695645101,9.207387038962205e-05,0.6850392565651002,0.24584746494769683,-0.880373052789015,66.93725790356814,67.41096554396913,67.92725835135518,32.02043106986479,44.14963825798408,55.93082638074188,0.9833678029713535,0.9984884871026427,1.0126708826078161,0.9519187131835445,1.308409204842071,1.6563960033031901,0.31005586827686776,0.3148234199834633,0.3192951292862445,0.6806115024583791,0.6850845193780258,0.6898534652116982,0.004291322601176719,0.3679984398433277,0.7154754526890619,-0.9979091576320002,-0.8213701123479183,-0.6517538677879212,gp_planck_anchor,0.54,0.65
0.008972602739726028,67.76786698794788,40.49815278018064,0.9879990439720125,1.2059263020344706,0.31997689243063193,9.440716155105119e-05,0.679928700407817,0.24561799609637056,-0.8795863958730524,67.35712366295981,67.80192479553486,68.32698507158496,32.52287071997756,44.44106798439337,56.3081511940463,0.9718956592834507,0.987006724472695,1.0000854098066605,0.9692325277073663,1.320214447519906,1.669450602788118,0.31476159285954547,0.3196555163001314,0.3238912259556955,0.6760132119833647,0.6802501713583154,0.6851455387201087,0.006411356514178963,0.36519511567149604,0.7179782490267385,-0.99688225561408,-0.8210389015960609,-0.6502340955710063,gp_planck_anchor,0.54,0.65
0.017945205479452057,68.13285428874856,40.85696733269618,0.9774419867949379,1.2208545918387235,0.32507843841623374,9.676527080332678e-05,0.6748247963129629,0.24523221550680893,-0.8788662297499622,67.75340143593772,68.22584590542351,68.73174928177242,32.92897820813832,44.683145594356624,56.50497012231808,0.9604822926840051,0.9747793018695301,0.9884209704781445,0.9861676558817012,1.3314637460826777,1.676363655102353,0.3194379697724864,0.32419288053224693,0.32872983759833463,0.6711723102281675,0.6757106177987096,0.6804669439406454,0.0051815594895577455,0.3610952762623251,0.7132638712840502,-0.9974557025147979,-0.8219895292825175,-0.6486897476769506,gp_planck_anchor,0.54,0.65
0.026917808219178087,68.50103891094946,41.210850093687284,0.9669629645359763,1.235606248485491,0.33017247628796786,9.914789597862078e-05,0.6697283758160535,0.244692228037673,-0.8782131996226483,68.1070693924069,68.61839795772971,69.15628159459933,33.263346375767846,44.958220051007814,56.535175892832605,0.9487261885959878,0.963658172270822,0.9781822367117908,0.9989664993398021,1.347026686844044,1.6821156492799254,0.3239454730908968,0.32904404481145627,0.3340033312558362,0.6658963704760701,0.6708571461506307,0.6759572489275166,0.003981914331987931,0.3575422175084012,0.7060157313351336,-0.9980331710905312,-0.8223027200389854,-0.6508853673391417,gp_planck_anchor,0.54,0.65
0.03589041095890411,68.87237693537722,41.55987620604645,0.9565639588168173,1.2501812528665224,0.33525821089286373,0.00010155473711453899,0.6646402343700218,0.24400040123947297,-0.8776278310070769,68.43856514574985,69.02541016979717,69.58965057644053,33.67548001817601,45.028897766029104,56.499445076733174,0.9369466365096276,0.9523271481301826,0.9687291441129536,1.0144113050668722,1.3557042587077954,1.6831338468342536,0.32838269742761456,0.33377328606624795,0.33952188633241037,0.6603752673992781,0.6661256090026243,0.6715178305313536,0.005123392301948483,0.34962349606087295,0.6960438816617482,-0.9974395626392669,-0.825187774386958,-0.654035182348306,gp_planck_anchor,0.54,0.65
0.04486301369863014,69.24682514842002,41.904127757529125,0.9462468002894889,1.2645799463383285,0.34033488175723453,0.00010398549649936562,0.6595611327462662,0.24315935908062739,-0.87711052748658,68.76986149332181,69.44190087774092,70.07735887066555,34.01215604135498,45.21765636420382,56.55572340590225,0.923950505846007,0.940937887870329,0.9594179901264634,1.0293784312816512,1.361516308671794,1.6868566351850562,0.33231561370715984,0.3384254347927834,0.34507213987467006,0.6548224272128771,0.6614711631207679,0.6675828509935272,0.003651244482547804,0.3427703322635969,0.6884809481700314,-0.9981536535658099,-0.8268089705724209,-0.6554805434267847,gp_planck_anchor,0.54,0.65
0.053835616438356174,69.62434110325722,42.24369353706446,0.9360131724050567,1.2788030195716324,0.3454017616427757,0.00010643987868205882,0.6544917984785422,0.24217197512857724,-0.8766615687206777,69.0917315867451,69.86833365989924,70.55520794723688,34.50381175672542,45.27521873975317,56.47587803973489,0.9114776109376954,0.9294871408699572,0.9504997407582108,1.0451643247559703,1.3717096140480673,1.68133983396931,0.33634780128883546,0.34299356605833986,0.35074750503277635,0.6491444077307655,0.6569007361786078,0.6635485489237579,0.007414740727076804,0.3360599106694165,0.6749912933303722,-0.9962169879338816,-0.8290292745836797,-0.6582671198811089,gp_planck_anchor,0.54,0.65
0.0628082191780822,70.00488317884636,42.578668778584664,0.9258646153411763,1.29285150077117,0.3504581550684352,0.00010891759044887778,0.649432927341116,0.2410413652040689,-0.8762811087148848,69.40817706659946,70.28826478951989,71.04293542604921,34.67603947239862,45.52926399195394,56.18992924635782,0.8990055371656596,0.9184140375585599,0.9418524687870499,1.0618058016408904,1.377410303223106,1.6897931921744795,0.34029146025338186,0.3476379633248211,0.3565098752976187,0.6433793263202432,0.6522539955616642,0.6596027818255509,-0.001596680072756426,0.33206810730161823,0.6588566997615132,-1.0008212990773546,-0.8299040011527805,-0.6660608614757156,gp_planck_anchor,0.54,0.65
0.07178082191780823,70.38841063655742,42.90915489292037,0.915802530067825,1.3067267433098557,0.3555033968063776,0.00011141834076862118,0.6443851848528537,0.23977087952764847,-0.875969174357311,69.74638358318234,70.71166755935879,71.49630896354316,35.021683652741025,45.70996971976845,56.11889534757962,0.8876401158461427,0.9074485244768888,0.9327403598426725,1.0769586207123705,1.3884753525461915,1.694188002785987,0.3445710903436134,0.3522604735046727,0.3620784561906758,0.6378080647788024,0.6476291245193437,0.6553209176104376,-0.005068036346480938,0.3283379262594839,0.6509616855844036,-1.0026239811650346,-0.8312479794767617,-0.6691262873415644,gp_planck_anchor,0.54,0.65
0.08075342465753425,70.77488367435016,43.23525918833646,0.9058281825313003,1.3204304128212978,0.36053685036004257,0.00011394184070852908,0.6393492077992489,0.23836409437833597,-0.8757256642272087,70.08244378385069,71.09240685634089,71.99120662194872,35.366619426287905,45.85215438120676,56.41631682832239,0.8754780291839489,0.897754770719678,0.9238164780747916,1.0935626991722431,1.3942133885019063,1.7031949873043277,0.3484569119050252,0.3573234788594034,0.36769653422025617,0.6321872612367425,0.642563594833982,0.65143296392345,-0.006967447806489388,0.32191996559128166,0.6474103600282162,-1.0036715075989906,-0.8324941421882399,-0.6674689158731467,gp_planck_anchor,0.54,0.65
